,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,,"147,095",-11.72%,,,
272,7/16/2009,0.92,920.25,936.25,917,931.25,,931.25,1237,18897,0.141636364,0.630598345,0.543616486,0.09872978,0.741076046,0.346156926,0,0.3,936.7,2.384,0.002545105,0.335272727,2.202183979,,,,,,,,,,
273,7/17/2009,0.13,930.25,934,925,932.5,,932.5,1780,20021,0.131454545,0.615493536,0.5471803,0.097698287,0.742576875,0.351783725,0,1.18,938.8,2.4175,0.002575096,0.286727273,2.152129914,,,,,,,,,,
274,7/20/2009,1.29,932.25,944.5,932.25,944.5,,944.5,817,20037,0.099090909,0.626083771,0.550949715,0.096645748,0.744241211,0.357658219,0,0.69,950.1,2.4635,0.002592885,0.240727273,2.11499046,,,,,,,,,,
275,7/21/2009,0.48,942,951.25,935.5,949,,949,1610,20632,0.106363636,0.624878547,0.55516761,0.094661885,0.744491379,0.365843841,0,-0.49,948.2,2.4465,0.002580152,0.180545455,2.08714799,,,,,,,,,,
276,7/22/2009,-0.42,947,952.25,940,945,,945,1710,20901,0.070909091,0.631258649,0.559356113,0.09278717,0.744930453,0.373781774,0,2.33,954.6,2.5205,0.002640373,0.214,2.106853543,,,,,,,,,,
277,7/23/2009,2.06,945.75,972.25,945.5,964.5,,964.5,4199,23550,0.128727273,0.628244244,0.563512023,0.090595408,0.74470284,0.382321206,0,-0.18,956.1,2.52,0.002635708,0.266727273,2.058625984,,,,,,,,,,
278,7/24/2009,0.93,963,974,958.5,973.5,,973.5,1371,23537,0.110363636,0.616822879,0.567300074,0.088320171,0.743940415,0.390659733,0,0.1,954.4,2.518,0.002638307,0.192363636,1.986903382,,,,,,,,,,
279,7/27/2009,0.21,975,979.25,965,975.5,,975.5,1344,24119,0.145272727,0.610786827,0.571521039,0.084605911,0.74073286,0.402309218,0,0.85,954.8,2.5405,0.002660767,0.236,1.974243034,,,,,,,,,,
280,7/28/2009,-0.41,975.25,978.25,962,971.5,,971.5,1973,24561,0.142363636,0.634201238,0.576355735,0.080263711,0.736883157,0.415828312,0,0.52,940.3,2.515,0.002674678,0.260363636,1.969231815,,,,,,,,,,
281,7/29/2009,-0.1,970,971.5,960,970.5,,970.5,2219,25627,0.183818182,0.621130075,0.580740398,0.075799886,0.73234017,0.429140626,0,-0.48,928.3,2.471,0.002661855,0.296545455,1.936139934,,,,,,,,,,
282,7/30/2009,0.75,970.5,989.25,970.5,977.75,,977.75,1231,26027,0.189272727,0.621038417,0.585276128,0.070317423,0.725910974,0.444641283,0,2.91,936,2.564,0.002739316,0.372181818,1.955761376,,,,,,,,,,
283,7/31/2009,0.23,977.75,986,974.5,980,,980,1518,26625,0.206727273,0.597727228,0.588770218,0.065854503,0.720479225,0.457061212,0,0.34,954.5,2.6235,0.002748559,0.43,1.905397791,,,,,,,,,,
284,8/3/2009,1.66,981.75,996.5,978.5,996.25,,996.25,2057,27343,0.187272727,0.612989624,0.592952036,0.059545681,0.712043398,0.473860674,0,4.06,957.5,2.7385,0.002860052,0.511272727,1.963355079,,,,,,,,,,
285,8/4/2009,0.4,995.5,1000.5,988,1000.25,,1000.25,2234,28406,0.195636364,0.60952192,0.596049151,0.05570566,0.70746047,0.484637832,0,0.93,968.4,2.7955,0.00288672,0.543090909,1.95554565,,,,,,,,,,
286,8/5/2009,-0.37,999.75,1002,987.25,996.5,,996.5,1751,28973,0.202545455,0.582245209,0.598675299,0.051341121,0.701357542,0.495993056,0,0.94,965,2.812,0.00291399,0.492545455,1.907241772,,,,,,,,,,
287,8/6/2009,-0.6,995.25,1003.75,985.75,990.5,,990.5,1667,29777,0.214,0.58636609,0.601404285,0.04628939,0.693983065,0.508825505,0,-1.78,961.5,2.752,0.002862194,0.473818182,1.924645702,,,,,,,,,,
288,8/7/2009,1.16,989.75,1011,984.75,1002,,1002,2712,30075,0.242727273,0.593638813,0.602472636,0.045395015,0.693262665,0.511682606,0,1.58,958.1,2.7855,0.002907317,0.491090909,1.93032781,,,,,,,,,,
289,8/10/2009,0.1,1001,1003,994.25,1003,,1003,1139,30347,0.234181818,0.580334665,0.603410319,0.04436521,0.692140739,0.514679898,0,0.75,945.8,2.7705,0.002929266,0.577090909,1.830212164,,,,,,,,,,
290,8/11/2009,-1.45,1002.25,1006,985.75,988.5,,988.5,2311,30917,0.169272727,0.59756416,0.605211488,0.041973585,0.689158659,0.521264318,0,-1.3,946.5,2.7365,0.002891178,0.526727273,1.843252012,,,,,,,,,,
291,8/12/2009,0.94,987.75,1007,981.5,997.75,,997.75,3946,33646,0.219090909,0.586996488,0.606714865,0.039712565,0.686139995,0.527289735,0,2.65,951.4,2.8235,0.002967732,0.523636364,1.839473922,,,,,,,,,,
292,8/13/2009,1.13,999.25,1010.5,993.75,1009,,1009,5798,38384,0.214,0.584358891,0.608091279,0.037501313,0.683093905,0.533088653,0,2.77,955.4,2.914,0.003050031,0.594181818,1.850032723,,,,,,,,,,
293,8/14/2009,-0.77,1008.5,1010.25,988,1001.25,,1001.25,5967,39877,0.173818182,0.603978483,0.61057757,0.032139321,0.674856212,0.546298928,0,-1.88,947.6,2.836,0.002992824,0.562,1.877696974,,,,,,,,,,
