,Date,SP Daily Pct Return,Open,High,Low,Last,Change,Settle,Volume,Previous Day Open Interest,SP_MA,dly chg correlation,dly chg corr mean,Std daily chg correl,upper_correl,lower_correl,signal,Gold-Copp Dly Ret,Gold Price,Copper Price,GoldCopperRatio,MA,rolling_std,,,,,5.98%,"173,647","184,029",,,
217,4/23/2013,1.15,1550.25,1570.5,1543,1567.5,,1567.5,14363,39443,0.100727273,-0.102989767,0.240847175,0.140846969,0.522541114,-0.040846763,-0.062143004,-0.34,1408.8,3.093,0.002195486,-0.045090909,1.562112616,,,,,,,,,,
218,4/24/2013,0.03,1567.75,1574,1564.75,1568,,1568,15150,41661,0.082363636,-0.118010196,0.233578167,0.148787786,0.531153739,-0.063997405,-0.054012791,1,1423.7,3.157,0.002217462,-0.012909091,1.565131248,,,,,,,,,,
219,4/25/2013,0.49,1567,1582,1564.5,1575.75,,1575.75,14169,45129,0.092181818,-0.123417199,0.22681028,0.15635523,0.539520739,-0.08590018,-0.037517019,-0.15,1462,3.237,0.00221409,-0.019454545,1.564934525,,,,,,,,,,
220,4/26/2013,-0.33,1575.5,1576,1566.75,1570.5,,1570.5,7124,48511,0.088363636,-0.118886131,0.219816737,0.163040254,0.545897245,-0.106263772,-0.01262236,-1.05,1453.6,3.1845,0.002190768,-0.018545455,1.564309596,,,,,,,,,,
221,4/29/2013,0.75,1570.25,1586.25,1567.75,1582.25,,1582.25,9856,50496,0.091636364,-0.11536528,0.212716875,0.168981153,0.55067918,-0.125245431,0,0.23,1468.9,3.2255,0.002195861,-0.016,1.564603369,,cover,112,"-177,212",Sh,,,,,
222,4/30/2013,0.25,1582.75,1588.5,1575.5,1586.25,,1586.25,4590,54766,0.097090909,-0.127236019,0.205702553,0.174945025,0.555592602,-0.144187496,0,-1.56,1473.5,3.185,0.00216152,-0.065090909,1.570009286,,,,,,,,,,
223,5/1/2013,-0.95,1587.5,1589.25,1570.25,1571.25,,1571.25,1814,57869,0.074727273,-0.099803813,0.199187056,0.179552826,0.558292708,-0.159918595,0,-1.65,1447.6,3.0775,0.002125933,-0.096545455,1.584313402,,,,,,,,,,
224,5/2/2013,0.97,1573,1588.25,1573,1586.5,,1586.5,8929,57677,0.092909091,-0.108026859,0.192377539,0.183999659,0.560376856,-0.175621779,0,-0.68,1469.1,3.102,0.002111497,-0.118909091,1.58369899,,,,,,,,,,
225,5/3/2013,1.01,1586.25,1608.5,1583.75,1602.5,,1602.5,14460,62642,0.109454545,-0.01182132,0.186907834,0.185538786,0.557985406,-0.184169738,0,6.99,1465.6,3.311,0.002259143,0.004,1.851033345,,,,,,,,,,
226,5/6/2013,0.31,1603.25,1609,1601.5,1607.5,,1607.5,7498,67427,0.116909091,-0.012646041,0.181414278,0.186912905,0.555240089,-0.192411533,0,-0.37,1469.5,3.3075,0.002250766,-0.010909091,1.850676826,,,,,,,,,,
227,5/7/2013,0.45,1606.5,1615.75,1603.5,1614.75,,1614.75,12813,70546,0.123818182,-0.003983851,0.176296807,0.188083487,0.552463781,-0.199870167,0,1.04,1450.4,3.2985,0.0022742,-0.021090909,1.843175272,,,,,,,,,,
228,5/8/2013,0.51,1613.75,1624,1611.5,1623,,1623,17257,75342,0.120181818,0.012661897,0.172670875,0.189299085,0.551269045,-0.205927295,0,0.37,1475.3,3.3675,0.002282587,0.022363636,1.823241886,,,,,,,,,,
229,5/9/2013,-0.25,1622,1626.5,1614.25,1619,,1619,39301,83297,0.140363636,0.02509821,0.169686195,0.190324111,0.550334417,-0.210962028,0,-0.53,1470,3.3375,0.002270408,0.003636364,1.823534788,,,,,,,,,,
230,5/10/2013,0.31,1620.5,1625.25,1614.75,1624,,1624,17878,103343,0.152909091,0.019615814,0.166343807,0.191331752,0.549007311,-0.216319696,0,2.69,1437.9,3.3525,0.002331525,0.080909091,1.845957819,,,,,,,,,,
231,5/13/2013,0.06,1619.75,1627.25,1616.25,1625,,1625,11476,111555,0.140363636,0.021619242,0.163291499,0.192292219,0.547875938,-0.221292939,0,0.38,1435.6,3.36,0.002340485,0.091454545,1.845980035,,,,,,,,,,
232,5/14/2013,1.06,1625,1642.75,1620.5,1642.25,,1642.25,12737,120723,0.193636364,-0.014863183,0.15887637,0.193563266,0.546002903,-0.228250163,0,-1.49,1425.8,3.2875,0.002305723,0.075090909,1.85609394,,,,,,,,,,
233,5/15/2013,0.38,1641.5,1653.75,1637.25,1648.5,,1648.5,20509,129921,0.190363636,-0.00570803,0.155006081,0.194704759,0.544415599,-0.234403436,0,1.28,1397.5,3.2635,0.002335242,0.119090909,1.855439723,,,,,,,,,,
234,5/16/2013,-0.36,1649,1653,1640.75,1642.5,,1642.5,11379,144722,0.155454545,-0.030955294,0.149837037,0.195816384,0.541469804,-0.241795731,0,1.55,1388.2,3.292,0.002371416,0.131272727,1.862713129,,,,,,,,,,
