,Date,Closing Price,B Rating,5 Year Rate,Yield Spread,S&P 500 Returns,Yield Spread Returns,Correl55day,55Day std,55Day Mean,55Z-Score,,signal,Long/Short
277,10/19/1998,1076.25,12.4,4.06,8.34,0.003028891,-0.003584229,-0.588182624,0.077749698,-0.52414127,-0.823686205,,0,
278,10/20/1998,1081.75,12.32,4.14,8.18,0.005110337,-0.019184652,-0.576571492,0.074997033,-0.527949507,-0.648318789,,0,
279,10/21/1998,1082.75,12.27,4.17,8.1,0.000924428,-0.009779951,-0.571834292,0.072119353,-0.531568046,-0.558327888,,0,
280,10/22/1998,1096.5,12.21,4.19,8.02,0.012699146,-0.009876543,-0.578533982,0.071213033,-0.534133261,-0.623491495,,0,
281,10/23/1998,1084,12.13,4.28,7.85,-0.011399909,-0.021197007,-0.552003066,0.069855906,-0.53631204,-0.224619892,,0,
282,10/26/1998,1089,12.11,4.32,7.79,0.004612546,-0.007643312,-0.550191301,0.068349754,-0.53848627,-0.171251992,,0,
283,10/27/1998,1083.75,12.07,4.23,7.84,-0.004820937,0.006418485,-0.548801492,0.066839125,-0.540571632,-0.123129384,,0,
284,10/28/1998,1080.25,12.1,4.18,7.92,-0.003229527,0.010204082,-0.549481991,0.065885495,-0.542228879,-0.110086624,,0,
285,10/29/1998,1105,12.06,4.13,7.93,0.022911363,0.001262626,-0.546000509,0.065421583,-0.543331857,-0.040791608,,0,
286,10/30/1998,1131.25,11.96,4.24,7.72,0.023755656,-0.026481715,-0.554467715,0.064827065,-0.544712733,-0.150477001,,0,
287,11/2/1998,1131,11.86,4.39,7.47,-0.000220994,-0.03238342,-0.541651289,0.064102544,-0.545938976,0.066887932,,0,
288,11/3/1998,1124.5,11.78,4.33,7.45,-0.005747126,-0.002677376,-0.537701924,0.063456527,-0.547002837,0.146571421,,0,
289,11/4/1998,1133.5,11.76,4.48,7.28,0.008003557,-0.022818792,-0.550017302,0.060424398,-0.549623473,-0.006517703,,0,
290,11/5/1998,1151.5,11.71,4.48,7.23,0.015880018,-0.006868132,-0.550343856,0.057498936,-0.552095711,0.030467609,,0,
291,11/6/1998,1158,11.66,4.58,7.08,0.005644811,-0.020746888,-0.54882971,0.054529932,-0.554452954,0.103122142,,0,
292,11/9/1998,1148,11.58,4.55,7.03,-0.008635579,-0.007062147,-0.541157944,0.052088459,-0.556365001,0.29194675,,0,
293,11/10/1998,1141,11.48,4.5,6.98,-0.006097561,-0.007112376,-0.544676578,0.047299535,-0.559052543,0.30393459,,0,
294,11/12/1998,1133.75,11.37,4.47,6.9,-0.006354075,-0.011461318,-0.538166693,0.040865195,-0.561855262,0.579675929,,0,
295,11/13/1998,1142,11.29,4.53,6.76,0.007276736,-0.020289855,-0.54014491,0.032000955,-0.564854992,0.772167007,,0,
296,11/16/1998,1141.75,11.19,4.55,6.64,-0.000218914,-0.017751479,-0.534085378,0.020040231,-0.567654413,1.675082227,,0,
297,11/17/1998,1154.75,11.1,4.57,6.53,0.01138603,-0.016566265,-0.475278283,0.023584866,-0.566104638,3.851043849,,3.851043849,
298,11/18/1998,1161.75,11.06,4.58,6.48,0.006061918,-0.007656968,-0.474299362,0.026601521,-0.564647571,3.396354958,,3.396354958,
299,11/19/1998,1168,10.99,4.63,6.36,0.005379815,-0.018518519,-0.337780976,0.039063995,-0.559159595,5.667075818,,5.667075818,
